"label","l","p","s","defined","selected","visible","locked","description"
"resampledCurve1-1",11.4824,-184.25,61.185,1,1,1,0,""
"resampledCurve1-2",11.5071,-184.228,61.1926,1,1,1,0,""
"resampledCurve1-3",11.5317,-184.206,61.2002,1,1,1,0,""
"resampledCurve1-4",11.5564,-184.184,61.2078,1,1,1,0,""
"resampledCurve1-5",11.581,-184.161,61.2154,1,1,1,0,""
"resampledCurve1-6",11.6057,-184.139,61.223,1,1,1,0,""
"resampledCurve1-7",11.6303,-184.117,61.2306,1,1,1,0,""
"resampledCurve1-8",11.6549,-184.095,61.2382,1,1,1,0,""
"resampledCurve1-9",11.6796,-184.073,61.2458,1,1,1,0,""
"resampledCurve1-10",11.7042,-184.051,61.2534,1,1,1,0,""
"resampledCurve1-11",11.7289,-184.029,61.2611,1,1,1,0,""
"resampledCurve1-12",11.7535,-184.007,61.2687,1,1,1,0,""
"resampledCurve1-13",11.7782,-183.985,61.2763,1,1,1,0,""
"resampledCurve1-14",11.8028,-183.963,61.2839,1,1,1,0,""
"resampledCurve1-15",11.8275,-183.941,61.2915,1,1,1,0,""
"resampledCurve1-16",11.8521,-183.918,61.2991,1,1,1,0,""
"resampledCurve1-17",11.8767,-183.896,61.3067,1,1,1,0,""
"resampledCurve1-18",11.9014,-183.874,61.3143,1,1,1,0,""
"resampledCurve1-19",11.926,-183.852,61.3219,1,1,1,0,""
"resampledCurve1-20",11.9507,-183.83,61.3295,1,1,1,0,""
"resampledCurve1-21",11.9753,-183.808,61.3372,1,1,1,0,""
"resampledCurve1-22",12,-183.786,61.3448,1,1,1,0,""
"resampledCurve1-23",12.0246,-183.764,61.3524,1,1,1,0,""
"resampledCurve1-24",12.0493,-183.742,61.36,1,1,1,0,""
"resampledCurve1-25",12.0739,-183.72,61.3676,1,1,1,0,""
"resampledCurve1-26",12.0985,-183.698,61.3752,1,1,1,0,""
"resampledCurve1-27",12.1232,-183.676,61.3828,1,1,1,0,""
"resampledCurve1-28",12.1478,-183.653,61.3904,1,1,1,0,""
"resampledCurve1-29",12.1725,-183.631,61.398,1,1,1,0,""
"resampledCurve1-30",12.1971,-183.609,61.4056,1,1,1,0,""
"resampledCurve1-31",12.2218,-183.587,61.4132,1,1,1,0,""
"resampledCurve1-32",12.2464,-183.565,61.4209,1,1,1,0,""
"resampledCurve1-33",12.2711,-183.543,61.4285,1,1,1,0,""
"resampledCurve1-34",12.2957,-183.521,61.4361,1,1,1,0,""
"resampledCurve1-35",12.3203,-183.499,61.4437,1,1,1,0,""
"resampledCurve1-36",12.345,-183.477,61.4513,1,1,1,0,""
"resampledCurve1-37",12.3696,-183.455,61.4589,1,1,1,0,""
"resampledCurve1-38",12.3943,-183.433,61.4665,1,1,1,0,""
"resampledCurve1-39",12.4189,-183.41,61.4741,1,1,1,0,""
"resampledCurve1-40",12.4436,-183.388,61.4817,1,1,1,0,""
"resampledCurve1-41",12.4682,-183.366,61.4893,1,1,1,0,""
"resampledCurve1-42",12.4929,-183.344,61.497,1,1,1,0,""
"resampledCurve1-43",12.5175,-183.322,61.5046,1,1,1,0,""
"resampledCurve1-44",12.5421,-183.3,61.5122,1,1,1,0,""
"resampledCurve1-45",12.5686,-183.28,61.5172,1,1,1,0,""
"resampledCurve1-46",12.5977,-183.262,61.5184,1,1,1,0,""
